Entity,Code,Day,Cumulative COVID-19 vaccinations per 100 people
Afghanistan,AFG,2021-02-22,0
Afghanistan,AFG,2021-02-28,0.020207573
Afghanistan,AFG,2021-03-16,0.13307425
Afghanistan,AFG,2021-04-07,0.29572058
Afghanistan,AFG,2021-04-22,0.59144115
Afghanistan,AFG,2021-05-11,1.2432635
Afghanistan,AFG,2021-05-20,1.3502133
Afghanistan,AFG,2021-05-24,1.4127483
Afghanistan,AFG,2021-05-26,1.4550784
Afghanistan,AFG,2021-05-27,1.4621239
Afghanistan,AFG,2021-05-30,1.4789774
Afghanistan,AFG,2021-06-02,1.5433903
Afghanistan,AFG,2021-06-03,1.5532846
Afghanistan,AFG,2021-06-08,1.5803677
Afghanistan,AFG,2021-06-14,1.6313993
Afghanistan,AFG,2021-06-22,1.887412
Afghanistan,AFG,2021-06-27,2.0594325
Afghanistan,AFG,2021-06-30,2.185508
Afghanistan,AFG,2021-07-05,2.256523
Afghanistan,AFG,2021-07-07,2.3028328
Afghanistan,AFG,2021-07-11,2.3709226
Afghanistan,AFG,2021-07-14,2.5238962
Afghanistan,AFG,2021-07-18,2.6966193
Afghanistan,AFG,2021-07-24,2.8858976
Afghanistan,AFG,2021-08-20,2.9603748
Afghanistan,AFG,2021-08-31,4.878532
Afghanistan,AFG,2021-09-30,5.839557
Afghanistan,AFG,2021-11-14,9.902196
Afghanistan,AFG,2021-12-27,11.519593
Afghanistan,AFG,2022-01-09,12.083557
Afghanistan,AFG,2022-01-11,12.137138
Afghanistan,AFG,2022-01-13,12.210324
Afghanistan,AFG,2022-01-17,12.284842
Afghanistan,AFG,2022-01-19,12.331671
Afghanistan,AFG,2022-01-24,12.435184
Afghanistan,AFG,2022-01-26,12.504535
Afghanistan,AFG,2022-01-27,12.52146
Afghanistan,AFG,2022-01-31,12.630093
Afghanistan,AFG,2022-02-02,12.697002
Afghanistan,AFG,2022-02-07,12.856447
Afghanistan,AFG,2022-02-14,13.1135025
Afghanistan,AFG,2022-02-20,13.337759
Afghanistan,AFG,2022-02-27,13.640738
Afghanistan,AFG,2022-03-06,13.7932205
Afghanistan,AFG,2022-03-17,14.123482
Afghanistan,AFG,2022-03-22,14.172445
Afghanistan,AFG,2022-04-04,14.47228
Afghanistan,AFG,2022-04-14,14.639154
Afghanistan,AFG,2022-04-18,14.660074
Afghanistan,AFG,2022-04-26,14.750927
Afghanistan,AFG,2022-04-27,14.75187
Afghanistan,AFG,2022-05-05,14.838933
Afghanistan,AFG,2022-05-08,14.843756
Afghanistan,AFG,2022-05-10,14.859311
Afghanistan,AFG,2022-05-15,14.950102
Afghanistan,AFG,2022-05-23,15.078194
Afghanistan,AFG,2022-06-01,15.209038
Afghanistan,AFG,2022-06-15,15.513556
Afghanistan,AFG,2022-06-21,15.663163
Afghanistan,AFG,2022-06-27,15.792649
Afghanistan,AFG,2022-06-30,15.883544
